,IATA_CODE,AIRPORT,CITY,LATITUDE,LONGITUDE,IATA_CODE,YEAR
,,,,,,len,len
,,,,,,,
71,COD,Yellowstone Regional Airport,Cody,44.52019,-109.0238,665,665
72,COS,City of Colorado Springs Municipal Airport,Colorado Springs,38.80581,-104.70025,6881,6881
73,COU,Columbia Regional Airport,Columbia,38.818090000000005,-92.21963000000001,1308,1308
74,CPR,Natrona County International Airport,Casper,42.908359999999995,-106.46446999999999,1774,1774
75,CRP,Corpus Christi International Airport,Corpus Christi,27.770359999999997,-97.50121999999999,4888,4888
76,CRW,Yeager Airport,Charleston,38.37315,-81.59319,2385,2385
77,CSG,Columbus Metropolitan Airport,Columbus,32.516329999999996,-84.93885999999999,1068,1068
78,CVG,Cincinnati/Northern Kentucky International Airport,Covington,39.04614,-84.66216999999999,20031,20031
79,CWA,Central Wisconsin Airport,Mosinee,44.77762,-89.66678,1420,1420
80,DAB,Daytona Beach International Airport,Daytona Beach,29.179920000000003,-81.05806,1494,1494
81,DAL,Dallas Love Field,Dallas,32.84711,-96.85177,59699,59699
82,DAY,James M. Cox Dayton International Airport,Dayton,39.90238,-84.21938,8676,8676
83,DBQ,Dubuque Regional Airport,Dubuque,42.40296,-90.70917,928,928
84,DCA,Ronald Reagan Washington National Airport,Arlington,38.85208,-77.03772,73794,73794
85,DEN,Denver International Airport,Denver,39.85841,-104.667,196055,196055
86,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,32.89595,-97.0372,239551,239551
87,DHN,Dothan Regional Airport,Dothan,31.321340000000003,-85.44963,1260,1260
88,DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,46.79739,-102.80195,938,938
89,DLG,Dillingham Airport,Dillingham,59.04541,-158.50333999999998,77,77
90,DLH,Duluth International Airport,Duluth,46.84209,-92.19365,1719,1719
91,DRO,Durango-La Plata County Airport,Durango,37.15152,-107.75376999999999,2068,2068
92,DSM,Des Moines International Airport,Des Moines,41.534929999999996,-93.66068,8385,8385
93,DTW,Detroit Metropolitan Airport,Detroit,42.21206,-83.34884,108500,108500
94,DVL,Devils Lake Regional Airport,Devils Lake,48.11425,-98.90878000000001,525,525
95,EAU,Chippewa Valley Regional Airport,Eau Claire,44.86526,-91.48507,668,668
96,EGE,Eagle County Regional Airport,Eagle,39.64257,-106.9177,1241,1241
97,EKO,Elko Regional Airport,Elko,40.82493,-115.7917,531,531
98,ELM,Elmira/Corning Regional Airport,Elmira,42.159909999999996,-76.89144,2051,2051
99,ELP,El Paso International Airport,El Paso,31.80667,-106.37781000000001,11972,11972
100,ERI,Erie International Airport,Erie,42.08202,-80.17622,746,746
101,ESC,Delta County Airport,Escanaba,45.72267,-87.09373000000001,573,573
102,EUG,Eugene Airport (Mahlon Sweet Field),Eugene,44.123259999999995,-123.21869,3632,3632
103,EVV,Evansville Regional Airport,Evansville,38.03799,-87.53063,3834,3834
104,EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,35.07297,-77.04294,575,575
105,EWR,Newark Liberty International Airport,Newark,40.6925,-74.16866,101772,101772
106,EYW,Key West International Airport,Key West,24.55611,-81.75956,1973,1973
107,FAI,Fairbanks International Airport,Fairbanks,64.81368,-147.85967,2183,2183
108,FAR,Hector International Airport,Fargo,46.91935,-96.81499000000001,5693,5693
109,FAT,Fresno Yosemite International Airport,Fresno,36.77619,-119.71813999999999,7018,7018
110,FAY,Fayetteville Regional Airport,Fayetteville,34.99147,-78.88,1633,1633
111,FCA,Glacier Park International Airport,Kalispell,48.3114,-114.25506999999999,2025,2025
112,FLG,Flagstaff Pulliam Airport,Flagstaff,35.13845,-111.67121999999999,1660,1660
113,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,26.07258,-80.15275,73624,73624
114,FNT,Bishop International Airport,Flint,42.9655,-83.74346,4746,4746
115,FSD,Sioux Falls Regional Airport,Sioux Falls,43.58135,-96.7417,5331,5331
116,FSM,Fort Smith Regional Airport,Fort Smith,35.33659,-94.36744,1971,1971
117,FWA,Fort Wayne International Airport,Fort Wayne,40.97847,-85.19515,5261,5261
118,GCC,Gillette-Campbell County Airport,Gillette,44.3489,-105.53936000000002,997,997
119,GCK,Garden City Regional Airport,Garden City,37.92752,-100.72440999999999,663,663
120,GEG,Spokane International Airport,Spokane,47.619859999999996,-117.53383999999998,9505,9505
121,GFK,Grand Forks International Airport,Grand Forks,47.949259999999995,-97.17611,717,717
122,GGG,East Texas Regional Airport,Longview,32.384859999999996,-94.71171,643,643
123,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,39.122409999999995,-108.52673,3179,3179
124,GNV,Gainesville Regional Airport,Gainesville,29.69006,-82.27178,2683,2683
125,GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,30.40728,-89.07009000000001,3605,3605
126,GRB,Green Bay-Austin Straubel International Airport,Green Bay,44.48507,-88.12959000000001,4881,4881
